Health Center Name,Site Address,Site Web Address,Site Telephone Number,Organization Email Address,,Site City,Site State,Site Zip Code,Latitude,Longitude
"Coastal Family Health Center, Inc.",175 Annex Rd,,601-394-5093,,,Leakesville,MS,39451-9602,-88.52949706,31.14501708
"MIDTOWN HEALTH CENTER, INC.",1205 S 2nd St,,402-644-2557,ckkube@midtownhealthne.org,,Norfolk,NE,68701-6323,-97.40822364,42.01934969
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,14 King Sq,www.achs-inc.org,603-837-2333,,,Whitefield,NH,03598-3346,-71.61174799,44.37363716
"Community Health Centers Of The Central Coast, Inc.",1551 Bishop St STE 240,WWW.CHCCC.ORG,805-549-0402,,,San Luis Obispo,CA,93401-4661,-120.6457113,35.27460709
Primary Health Network,531 N Franklin St,,570-486-4588,,,Shamokin,PA,17872-6754,-76.55018459,40.79148748
SALUD INTEGRAL EN LA MONTANA INC,PR-164,,787-869-1290,,,Lomas,PR,719,-66.26951405,18.31165201
"Sterling Health Solutions, Inc.",301 College Rd,,859-404-7686,fmahoney@sterlinghealthky.org,,Paris,KY,40361-9575,-84.1108659,38.14726783
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",605 Stadium Dr,www.semrhi.com,601-450-0310,houston.ernst@semrhi.com,,Hattiesburg,MS,39401-4156,-89.30673626,31.331909
Northeast Valley Health Corporation,2471 N Beachwood Dr,,323-361-2153,patriciamoraga@nevhc.org,,Los Angeles,CA,90068-3004,-118.3215575,34.11491983
"BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC.",301 Sprague St,,208-255-4076,,,Kootenai,ID,83840-0280,-116.5166875,48.31163099
"FAMILY HEALTH CARE CLINIC, INC.",910 Second St,www.familyhealthcareclinic.com,601-825-7280,,,Prentiss,MS,39474-9117,-89.86504167,31.59953055
JESSIE TRICE COMMUNITY,10327 NW 11th Ave,www.jtchs.org,305-637-6400,jjlawrence@jtchc.org,,Miami,FL,33150-1021,-80.21603253,25.87013189
Katahdin Valley Health Center,59 Bangor St,www.kvhc.org,207-538-3700,,,Houlton,ME,04730-1740,-67.84656205,46.12301474
"Providence Community Health Centers, Inc., The",160 Broad St,www.providencechc.org,401-861-2403,,,Providence,RI,02903-4028,-71.4171725,41.81723875
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,2833 South Grand Ave E STE 100,,217-535-3102,grants@siumed.edu,,Springfield,IL,62703-2175,-89.612435,39.7874575
EL CENTRO FAMILY HEALTH,15136 NM-75,www.ecfh.org,505-587-2809,,,Penasco,NM,87553,-105.6832992,36.1719941
"Baton Rouge Primary Care Collaborative, Inc.",7600 Boone Ave,NA,225-774-1120,,,Baton Rouge,LA,70808-6716,-91.13252788,30.38216631
MATTHEW WALKER HEALTH CENTER,904 26th Ave N,https://schools.mnps.org/pearl-cohn-entertainment-magnet-high-school,615-329-8150,,,Nashville,TN,37208-3202,-86.81607016,36.16465977
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE, INC.",598 W 11th Ave,www.semrhi.com,601-796-4215,houston.ernst@semrhi.com,,Lumberton,MS,39455-2350,-89.45829943,30.99982135
"Valley Family Health Care, Inc.",403 E St W Rm Weiland& # 39S,,541-473-3291,,,Vale,OR,97918-1529,-117.2423704,43.97895253
"Community Care of West Virginia, Inc.",271 Warrior Way,,304-799-6565,heather.powell@ccwv.org,,Dunmore,WV,24934-9048,-79.93247644,38.28742662
TRI-STATE COMMUNITY HEALTHCARE CENTER,4137 Verdugo Rd,,323-344-9255,maria.tristatech@gmail.com,,Los Angeles,CA,90065-3820,-118.231984,34.12615975
Venice Family Clinic,1091 S La Brea Ave,,310-802-6177,,,Inglewood,CA,90301-3817,-118.3527675,33.949264
OUTSIDE IN,1132 SW 13th Ave,www.outsidein.org,503-535-3860,catherineh@outsidein.org,,Portland,OR,97205-1703,-122.686795,45.51773936
"JWCH Institute, Inc.",12360 Firestone Blvd,http://www.jwchinstitute.org/clinic_norwalk.htm,562-281-0305,,,Norwalk,CA,90650-4324,-118.0698565,33.90618303
"Coastal Family Health Center, Inc.",1046 Division St,www.coastalfamilyhealth.org,228-374-2494,,,Biloxi,MS,39530-2935,-88.90065141,30.40354172
"NEW ORLEANS, CITY OF",1300 Perdido St,,504-658-2529,rpcollins@nola.gov,,New Orleans,LA,70112-2125,-90.07678481,29.95253536
"Connecticut Institute for Communities, Inc.",21 Hayestown Ave,,203-797-4460,moraninom@ct-institute.org,,Danbury,CT,06811-4819,-73.45392912,41.41288435
"Shenandoah Valley Medical System, Incorporated",867 Fairmont Ave,http://www.shencommhealth.com/,304-263-4999,,,Winchester,VA,22601-4929,-78.16486365,39.19726188
WINDROSE HEALTH NETWORK INC,55 N Milford Dr,www.windrosehealth.net,317-739-4848,,,Franklin,IN,46131-7308,-86.02803573,39.48126318
"Northeastern Oklahoma Community Health Centers, Inc.",1500 E Downing St STE 103,www.neohealth.org,918-708-3580,,,Tahlequah,OK,74464-3354,-94.94819874,35.91536126
NORTHSHORE HEALTH CENTERS,10851 Broadway,,219-763-8112,dhall@northshorehealth.org,,Crown Point,IN,46307-7303,-87.33267401,41.42201801
"Sterling Health Solutions, Inc.",209 N Maysville St STE 200,www.sterlinghealthky.org,859-404-7686,fmahoney@sterlinghealthky.org,,Mount Sterling,KY,40353-1179,-83.94333445,38.06008736
HIGH COUNTRY COMMUNITY HEALTH,126 Poplar Smt,www.apprhs.org,828-264-6635,,,Boone,NC,28607-4571,-81.68695112,36.20750842
"HealthNet, Inc.",1751 E Riverside Dr,,317-632-2006,,,Indianapolis,IN,46202-2010,-86.19092531,39.79067299
ARCARE,3360 Wayne Sullivan Dr,www.arcare.net,270-443-9474,,,Paducah,KY,42003,-88.56459359,37.05311782
BARTZ-ALTADONNA COMMUNITY HEALTH CENTER,2520 E Palmdale Blvd STE A,,661-874-4050,ssalomon@bachc.org,,Palmdale,CA,93550-4914,-118.0842725,34.58007996
MEDLINK GEORGIA INC,180 Legacy Pt STE 102,,706-788-3234,,,Clayton,GA,30525-5354,-83.38855003,34.87706001
"Lynn Community Health, Inc.",34 Hood St,,781-596-2502 x2701,mmeiklejohn@lchcnet.org,,Lynn,MA,01905-2330,-70.96932197,42.46062601
West Hawaii Community Health Center Inc,74-5214 Keanalehu Dr,www.westhawaiichc.org,808-355-5600,nala@westhawwaiichc.org,,Kailua Kona,HI,96740-33ND,-155.9936266,19.66656611
TRI-STATE COMMUNITY HEALTHCARE CENTER,11888 Bartlett Ave,,760-530-9944,maria.tristatech@gmail.com,,Adelanto,CA,92301-1709,-117.4068711,34.57927534
Los Angeles Christian Health Centers,1940 E 111th St,www.lachc.com,213-893-1960,,,Los Angeles,CA,90059-2002,-118.237588,33.93426249
WHOLE FAMILY HEALTH CENTER INC,1255 37th St STE C,www.wfhcfl.org,877-345-9342,mandress@wfhcfl.org,,Vero Beach,FL,32960-6550,-80.39765488,27.66024267
"Variety Care, Inc.",500 SW 44th St,www.varietycare.org,405-235-6466,ahorn@varietycare.org,,Oklahoma City,OK,73109-3540,-97.52192196,35.42073246
NORTH CENTRAL TEXAS COMMUNITY HEALTH CAR,4510 Medical Center Dr STE 201,,214-618-5600,,,McKinney,TX,75069-1605,-96.63820701,33.15969098
Yellowstone City-County Health Department,3005 1st Ave S,,406-247-3200,,,Billings,MT,59101-4020,-108.5061343,45.77823341
NORTHWEST HEALTH SERVICES INC,502 S Olive St,,660-663-2173,mattyounger@nwhealth-services.org,,Gallatin,MO,64640-9470,-93.97083465,39.91099734
"Hopewell Health Centers, Inc.",3086 State Route 160,www.hopewellhealth.org,740-446-5500,,,Gallipolis,OH,45631-8409,-82.23522488,38.84563861
LITTLE RIVER MEDICAL CENTER INC,164 Waccamaw Medical Park Dr,www.lrmcenter.com,843-347-5060,pdavis@lrmcenter.com,,Conway,SC,29526-8903,-78.99673644,33.78679795
Native American Rehabilitation Association Inc,1776 SW Madison St,www.naranorthwest.org,503-224-1044 x249,,,Portland,OR,97205-1715,-122.692042,45.51855698
HACKLEY COMMUNITY CARE CENTER INC,1420 Madison St Ste A,,231-720-2450,,,Muskegon,MI,49442-5251,-86.21928855,43.22642794
"UNITED METHODIST WESTERN KANSAS MEXICAN-AMERICAN MINISTRIES, INC.",1607 Buffalo Jones Ave,,620-271-7400,mdarnell@genesisfh.org,,Garden City,KS,67846-4839,-100.8886192,37.97694148
"MANCHESTER, CITY OF",195 McGregor St,www.catholicmedicalcenter.org,603-663-8709,,,Manchester,NH,03102-3748,-71.4728964,42.99292979
"Clinicas del Camino Real, Inc.",545 Airport Way,,805-659-1740,,,Camarillo,CA,93010-8581,-119.0763303,34.20670448
HORIZON HEALTH CARE INC,1400 E 10th St,www.horizonhealthcare.org,605-942-7711,knewbold@horizonhealthcare.org,,Plankinton,SD,57368-2033,-98.46482303,43.72406698
"Williamson Health & Wellness Center, Inc",184 E 2nd Ave STE 210,N/A,304-236-5902,,,Williamson,WV,25661-3602,-82.2773437,37.67168349
WHOLE FAMILY HEALTH CENTER INC,920 37th Pl Ste 103,www.wfhcfl.org,772-925-8200,mandress@wfhcfl.org,,Vero Beach,FL,32960-6595,-80.39100543,27.66128488
BIGHORN VALLEY HEALTH CENTER INC,1 S Mondell Ave BLDG 1,,406-665-4103,,,Wyola,MT,59089-7750,-107.3958723,45.12964647
"Grace Community Health Center, Inc.",5296 Highway 221,www.gracechc.com,606-337-8108,michael.stanley@gracehealthky.org,,Stoney Fork,KY,40988-8930,-83.51612579,36.83854613
Mountain Peoples Health Councils Inc,474 Industrial Ln,,423-286-4141,phillipsk@mphci.com,,Oneida,TN,37841-6294,-84.52310579,36.49940144
MARILLAC COMMUNITY HEALTH CENTERS,1301 Whitney Ave,www.dchcno.org,504-367-8777,,,Gretna,LA,70056-5025,-90.04328511,29.9035845
Greater Family Health,3901 Mercy Dr,www.greaterfamilyhealth.org,844-599-3700,,,Mchenry,IL,60050-3151,-88.27330259,42.31656225
Atlanticare Health Services Inc,1401 Atlantic Ave STE 2500,,609-572-8800,,,Atlantic City,NJ,08401-7001,-74.42883667,39.36187052
SOUTH CENTRAL PRIMARY CARE CENTER INC,159 Trojan Way,,229-468-9166,,,Douglas,GA,31533-8263,-82.85781186,31.55324303
TRAVIS COUNTY HEALTHCARE DISTRICT,2237 E Riverside Dr STE 101C,,512-978-9015,,,Austin,TX,78741-3051,-97.72603647,30.23840821
Swope Health Services,4736 Prospect Ave,www.swopehealth.org,816-923-5800,,,Kansas City,MO,64130-2602,-94.55446655,39.03967447
Cahaba Medical Care Foundation,301 61st St,www.cahabamedicalcare.com,205-791-5067,,,Fairfield,AL,35064-1900,-86.91511492,33.47765273
"Cumberland Family Medical Center, Inc.",478 Whirlaway Dr STE 100,,859-236-6613,tantle@cfmcky.com,,Danville,KY,40422-9037,-84.79571139,37.65951105
"HERITAGE HEALTH AND HOUSING, INC.",1727 Amsterdam Ave,www.heritagehousing.org,212-862-0054,asoden@heritagenyc.org,,New York,NY,10031,-73.94716306,40.82553718
Rkm Primary Care,306 N Range Ave,www.rkmcare.org,225-683-5292,johnette.kay@rkmcare.org,,Denham Springs,LA,70726-3424,-90.9563073,30.48825167
"Cornerstone Care, Inc.",140 N Beeson Ave STE 400,www.cornerstonecare.com,724-439-1628,rrinehart@cornerstonecare.com,,Uniontown,PA,15401-2937,-79.72552666,39.90581999
MISSION AREA HEALTH ASSOCIATES,1580 Valencia St STE 506,,415-852-4080,patriciacarrillo@mnhc.org,,San Francisco,CA,94110-4418,-122.4202601,37.74747376
"HUNTER HEALTH CLINIC INC, THE",402 E 2nd St N,www.hunterhealth.org,316-262-2415,,,Wichita,KS,67202-2504,-97.33391906,37.68983208
"Sixteenth Street Community Health Centers, Inc.",2607 S 5th St STE B,www.sschc.org,414-810-1380,,,Milwaukee,WI,53207-1418,-87.9170391,42.99737953
CLOVERFORK OUTPATIENT MEDICAL PROJECT,51 Nola St,,606-573-2502,jminiard@cloverforkclinic.org,,Cawood,KY,40815-5251,-83.22895941,36.78445671
"St. John's Well Child And Family Center, Inc.",326 W 23rd St,http://www.wellchild.org,323-541-1411,,,Los Angeles,CA,90007-2612,-118.2717241,34.02954113
REGENTS OF THE UNIVERSITY OF MINNESOTA,2001 Bloomington Ave,www.cuhcc.umn.edu,612-301-3433,,,Minneapolis,MN,55404-3074,-93.25227184,44.96242327
Northeast Valley Health Corporation,5205 Melrose Ave,thesabanfreeclinic.org,323-337-1804,patriciamoraga@nevhc.org,,Los Angeles,CA,90038-3144,-118.314009,34.08353752
Katahdin Valley Health Center,1300 Crystal Rd,www.kvhc.org,207-538-3700,,,Island Falls,ME,04747-4369,-68.29277292,46.00677212
JESSIE TRICE COMMUNITY,5361 NW 22nd Ave,www.jtchs.org,305-805-1700,jjlawrence@jtchc.org,,Miami,FL,33142-8035,-80.23259333,25.82384182
"ODA PRIMARY HEALTH CARE CENTER, INC.",517 Park Ave,www.odahealth.org,718-260-4600,,,Brooklyn,NY,11205-1783,-73.95593019,40.69698163
HOUSTON COMMUNITY HEALTH CENTERS INC,5910 Market St,,713-671-3650,koshaughnessy@vecinohealthcenters.org,,Houston,TX,77020-6627,-95.31218297,29.76825
EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CE,340 W Prince Rd,,520-740-7705,clintonk@elrio.org,,Tucson,AZ,85705-6168,-110.976995,32.27198747
Sunshine Community Health Center Incorporated,34300 S Talkeetna Spur,www.sunshineclinic.org,907-733-2273,jgilmore@sunshineclinic.org,,Talkeetna,AK,99676,-150.0516393,62.19130778
"HARBOR HOMES, INC.",17 Birch Hill Dr,,603-821-7788,m.lavalley@nhpartnership.org,,Nashua,NH,03063-2541,-71.51256166,42.76678298
"Sterling Health Solutions, Inc.",3570 Indian Mound Dr,www.sterlinghealthky.org,859-404-7686,fmahoney@sterlinghealthky.org,,Mount Sterling,KY,40353-1633,-83.93881736,38.04107997
Neighborhood Health,7501 Little River Tpke STE G4,www.neighborhoodhealthva.org,703-535-5568,,,Annandale,VA,22003-2923,-77.20459644,38.83162487
Pines Health Services,11 Harmony Ln,www.pineshealthservices.org,207-472-0590,,,Fort Fairfield,ME,04742-3354,-67.84407196,46.76702393
Community Treatment Incorporated,110 N Mill St,,636-931-2700,,,Festus,MO,63028-1816,-90.39294134,38.22058878
SOUTHEAST COMMUNITY HEALTH SYSTEMS,1590 Highway 1042,,225-222-3466,thwright@shchc.org,,Greensburg,LA,70441-4240,-90.75670404,30.82186637
"Healthsource Of Ohio, Inc.",500 S 5th St STE 202,,513-536-5005,,,Williamsburg,OH,45176-1017,-84.06568903,39.051759
ACCESS HEALTH LOUISIANA,904 Sugarhouse Rd,www.accesshealthla.org,504-575-3700,,,Luling,LA,70070-4435,-90.36719697,29.92153179
LEGACY COMMUNITY HEALTH SERVICES INC,6565 De Moss Dr,www.legacycommunityhealth.org,713-967-9800,calexander@legacycommunityhealth.org,,Houston,TX,77074-5099,-95.49814798,29.70718255
Waikiki Health,1414 Kalakaua Ave,https://waikikihc.org/,808-922-4787,,,Honolulu,HI,96826-1910,-157.8367995,21.29806794
CAMUY HEALTH SERVICES,63 Mu&#241;oz Rivera Avenue,,787-898-2660 x246,,,Puente,PR,627,-66.85103499,18.472435
Cornerstone Family Healthcare,275 Chenango St,,607-201-1200,,,Binghamton,NY,13901-2312,-75.90502512,42.10677844
"Comprehensive Community Health Centers, Inc.",801 S Chevy Chase Dr STE 250,www.cchccenters.org,818-265-2264,davidlo@cchccenters.org,,Glendale,CA,91205-4433,-118.2396176,34.13675301
CARE SOUTH CAROLINA INC,737 S Main St,www.caresouth-carolina.com,843-309-8104,,,Society Hill,SC,29593-8972,-79.86328106,34.50118165
Pancare of Florida Inc,4126 Independent Dr,www.pancarefl.org,850-872-4128,mhill@pancarefl.org,,Marianna,FL,32448-4023,-85.25220149,30.77813895
"Community Health South Florida, Inc.",14591 SW 120th St,,305-252-4853,,,Miami,FL,33186-8638,-80.42963226,25.65565751
NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,9037 Parsons Blvd,,718-883-3000,,,Jamaica,NY,11432-6032,-73.80025093,40.70379293
LEWIS COUNTY COMMUNITY HEALTH CENTER,711 Harrison Ave,www.vvhc.org,360-736-5405,,,Centralia,WA,98531-2109,-122.9723615,46.72448687
"Rural Health Network of Monroe County Florida, Inc",3706 N Roosevelt Blvd Ste F,,305-517-6613 x303,jbroadie@rhnmc.org,,Key West,FL,33040-4566,-81.756295,24.57220864
"HAMILTON, COUNTY OF",730 E 11th St,www.health.hamiltontn.org,423-265-5708,,,Chattanooga,TN,37403-3103,-85.3000806,35.04030679
DAILY PLANET INC,10299 Woodman Rd,,804-649-2119 x264,deligt@dailyplanet.org,,Glen Allen,VA,23060-4419,-77.49454399,37.65430824
"Central Virginia Health Services, Inc.",17202 Richmond Tpke,,804-633-5465,paulatomko@cvhsinc.org,,Milford,VA,22514-2211,-77.33964214,38.02450069
Camarena Health,49185 Road 426,,559-664-4000,nancynetherland@gmail.com,,Oakhurst,CA,93644-8400,-119.6505034,37.33012489
"Cumberland Family Medical Center, Inc.",106 Ingram Ave,,270-465-0449,tantle@cfmcky.com,,Campbellsville,KY,42718-1621,-85.33510911,37.34867563
Peninsula Community Health Services,7607 NW Newberry Hill Rd RM Clinic,www.pchsweb.org,360-377-3776,kjennings@pchsweb.org,,Silverdale,WA,98383-7313,-122.7559729,47.62864452
Health Opportunities For The People Of East Texas Inc,109 E Main St,www.hcmtx.org,936-591-8380,,,San Augustine,TX,75972-1940,-94.10921944,31.52936463
"Greater Meridian Health Clinic, Inc",900 44th Ave,,601-693-0151,jstewart@gmhcinc.org,,Meridian,MS,39307-5913,-88.72179205,32.36584735
"Mosaic Health, Inc.",55 Central Plz STE B,,315-793-7600 x7503,,,Ilion,NY,13357-1753,-75.03647923,43.01536009
"Gaston Family Health Services, Inc.",2721 X Ray Dr,www.kintegra.org,704-874-2255,,,Gastonia,NC,28054-7491,-81.1402547,35.27659197
WHITTIER STREET HEALTH CENTER,1290 Tremont Street,http://www.wshc.org,617-427-1000,,,Roxbury Crossing,MA,02120-3432,-71.09196967,42.33276133
"Central City Community Health Center, Inc.",12511 Brookhurst St,,714-741-0116,rosemary.reyes@centralcityhealth.org,,Garden Grove,CA,92840-4806,-117.9586722,33.78108987
CENTRAL CITY CONCERN,12133 E Burnside St,,503-517-0321,marcella.boles@ccconcern.org,,Portland,OR,97216-3737,-122.538185,45.52260749
MARILLAC COMMUNITY HEALTH CENTERS,4400 General Meyer Ave,,504-667-4327,,,New Orleans,LA,70131-3529,-90.00829795,29.936511
"St. Thomas Community Health Center, Inc.",2000 Magazine St,www.stthomaschc.org,504-529-5558,rdarrow@stthomaschc.org,,New Orleans,LA,70130-5018,-90.07478564,29.93087233
"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC",507 N Brightleaf Blvd STE 209,,919-934-0850,ptripp@commwellhealth.org,,Smithfield,NC,27577-4405,-78.33429963,35.51299575
"New River Health Association, Inc.",,www.nrhawv.org,304-469-3348,kristi.mccormick@nrhawv.org,,Scarbro,WV,25917-8817,-81.16340996,37.95598002
"Alcona Citizens For Health, Inc.",1500 Hill St,,231-348-2160,,,Petoskey,MI,49770-2782,-84.93674404,45.3721113
RIVER VALLEY PRIMARY CARE SERVICES,437 N Main St,www.rvpcs.org,479-997-1484,jerryw@rvpcs.org,,Mulberry,AR,72947-8574,-94.05193064,35.49954632
"Winn Community Health Center, Inc.",425 W Lafayette St,,318-648-0375,,,Winnfield,LA,71483-3463,-92.64259328,31.92491138
"Valley Health Systems, Inc.",205 Marion Pike,www.valleyhealth.org,740-532-1188,,,Coal Grove,OH,45638-3165,-82.65275698,38.49954409
"Community Health Center, Incorporated",45 Joe Williams Rd,,860-873-5076,mark@chc1.com,,Moodus,CT,06469-1128,-72.43858201,41.50115998
KING COUNTY,3005 NE 4th St,,206-477-4029,,,Renton,WA,98056-4122,-122.179592,47.48652101
"Sun River Health, Inc.",3600 Route 112,,631-320-2220,,,Coram,NY,11727-4116,-72.99917953,40.85884963
FAMILY HEALTH CENTERS OF SAN DIEGO INC,823 Gateway Center Way,www.fhcsd.org,619-515-2300,,,San Diego,CA,92102-4541,-117.113495,32.71503752
"Escambia Community Clinics, Inc.",1295 W Fairfield Dr,healthcarewithinreach.org,850-912-8880,apapadelias@healthcarewithinreach.org,,Pensacola,FL,32501-1107,-87.23307919,30.44500119
TRAVIS COUNTY HEALTHCARE DISTRICT,14008 Shadowglen Blvd STE 302,,512-978-9015,,,Manor,TX,78653-3406,-97.54651195,30.34996715
Sea-Mar Community Health Center,5501 NE 109th Ct,,360-566-4432,dustingreer@seamarchc.org,,Vancouver,WA,98662-6177,-122.559842,45.66197398
"Vna Health Care, An Illinois Not-for-profit Corporation",396 Remington Blvd STE 230,www.vnahealth.com,630-892-4355,,,Bolingbrook,IL,60440-4304,-88.08256978,41.68084988
Sac Health System,275 W Hospitality Ln Ste 200,,909-382-7100,stadavis@sachealthsystem.org,,San Bernardino,CA,92408-3238,-117.289192,34.06591247
MED CENTRO,Calle Miguel ten,,787-843-9393,,,Salinas,PR,751,-66.2984695,17.97556087
COMMUNITY ACTION COMMITTEE OF PIKE COUNTY,7777 US Highway 23,www.pikecac.org,740-289-3508,lbellomy@pikecac.org,,Piketon,OH,45661-9102,-83.01085032,39.06727491
FIRST NATIONS COMMUNITY HEALTH SOURCE INC,1138 Cardenas Dr SE,,505-268-3961,,,Albuquerque,NM,87108-4809,-106.5797585,35.06208691
NEIGHBORHOOD HEALTHCARE,6420 Rustic Ln,,760-520-8300,rakeshp@nhcare.org,,Jurupa Valley,CA,92509-5780,-117.4289373,34.00425348
Canyonlands Community Health Care,467 Vista Ave,www.canyonlandschc.org,928-645-8123,,,Page,AZ,86040-1478,-111.4629591,36.91872235
"Wasatch Homeless Health Care, Inc.",242 W Paramount Ave,,801-364-0058,,,Salt Lake City,UT,84115-5216,-111.898047,40.73639749
COMMUNITY HEALTH CLINICS INC,700 N Star Rd,,208-585-6242,,,Star,ID,83669-5417,-116.4932597,43.69897639
"Community Health Care, Inc.",490 Avenue Of The Cities,https://www.chcqca.org/schoolhealth,563-336-3000,,,East Moline,IL,61244-4031,-90.4519707,41.48934326
COMMUNITY ACTION OF LARAMIE COUNTY INC,1920 Evans Ave,www.calc.net,307-635-9291,cj@calc.net,,Cheyenne,WY,82001-3716,-104.8130994,41.1378132
"THUNDER BAY COMMUNITY HEALTH SERVICE, INCORPORATED",21258 M 68 Hwy,tbchs.org,989-733-2082,,,Onaway,MI,49765-9663,-84.24180874,45.35405077
Chattanooga C A R E S Inc,1000 E 3rd St Ste 103,www.cempa.org,423-265-2273,choward@chattanoogacares.org,,Chattanooga,TN,37403-2148,-85.29051701,35.047275
"Community Health South Florida, Inc.",10300 SW 216th St,www.chisouthfl.org,305-253-5100,,,Miami,FL,33190-1003,-80.35782399,25.56650273
Northeast Valley Health Corporation,"1513 S Grand Ave, Ste 220",www.eisnerhealth.org,213-747-5542,patriciamoraga@nevhc.org,,Los Angeles,CA,90015-3075,-118.2662525,34.03589969
"HARBOR HOMES, INC.",139 Ledge St,,603-821-7788,m.lavalley@nhpartnership.org,,Nashua,NH,03060-3073,-71.48155198,42.75503093
